NetCollection; netCollection; netCollection.name; IgnoreNetCollectionText
Prefabs; netCollection.m_prefabs; Count()
Type; netInfo; netInfo.m_class.name; netInfo.name; netInfo.GetLocalizedTitle(); netName; IgnoreNetText; netInfo.m_maxSlope; Group; match; limit; cfgLimit
NetInfo; BasicRoadTL Bridge (NetInfo); NExtSmall3LRoad; BasicRoadTL Bridge; NET_TITLE[BasicRoadTL Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadTL Tunnel (NetInfo); NExtSmall3LRoadTunnel; BasicRoadTL Tunnel; NET_TITLE[BasicRoadTL Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadTL Slope (NetInfo); NExtSmall3LRoad; BasicRoadTL Slope; NET_TITLE[BasicRoadTL Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R2 (NetInfo); NExtSmall3LRoad; AsymRoadL1R2; Three-Lane Asymmetrical Road (1+2); Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R2 Elevated (NetInfo); NExtSmall3LRoad; AsymRoadL1R2 Elevated; NET_TITLE[AsymRoadL1R2 Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R2 Bridge (NetInfo); NExtSmall3LRoad; AsymRoadL1R2 Bridge; NET_TITLE[AsymRoadL1R2 Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R2 Tunnel (NetInfo); NExtSmall3LRoadTunnel; AsymRoadL1R2 Tunnel; NET_TITLE[AsymRoadL1R2 Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R2 Slope (NetInfo); NExtSmall3LRoad; AsymRoadL1R2 Slope; NET_TITLE[AsymRoadL1R2 Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn (NetInfo); NEXTbasicroadmedianGround; BasicRoadMdn; Basic Road with Median; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn Elevated (NetInfo); NEXTbasicroadmedianElevated; BasicRoadMdn Elevated; NET_TITLE[BasicRoadMdn Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn Bridge (NetInfo); NEXTbasicroadmedianBridge; BasicRoadMdn Bridge; NET_TITLE[BasicRoadMdn Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn Tunnel (NetInfo); NEXTbasicroadmedianTunnel; BasicRoadMdn Tunnel; NET_TITLE[BasicRoadMdn Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn Slope (NetInfo); NEXTbasicroadmedianSlope; BasicRoadMdn Slope; NET_TITLE[BasicRoadMdn Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn Decoration Grass (NetInfo); NEXTbasicroadmedianGroundGrass; BasicRoadMdn Decoration Grass; Basic Road with Grass Median; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadMdn Decoration Trees (NetInfo); NEXTbasicroadmedianGroundTrees; BasicRoadMdn Decoration Trees; Basic Road with Grass Median and Trees; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway3L (NetInfo); NExtSmall3LRoad; Oneway3L; Three-Lane Oneway; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway3L Elevated (NetInfo); NExtSmall3LRoad; Oneway3L Elevated; NET_TITLE[Oneway3L Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway3L Bridge (NetInfo); NExtSmall3LRoad; Oneway3L Bridge; NET_TITLE[Oneway3L Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway3L Tunnel (NetInfo); NExtSmall3LRoadTunnel; Oneway3L Tunnel; NET_TITLE[Oneway3L Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway3L Slope (NetInfo); NExtSmall3LRoad; Oneway3L Slope; NET_TITLE[Oneway3L Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Avenue (NetInfo); NExtSmall4LRoad; Small Avenue; Small Four-Lane Road; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Avenue Elevated (NetInfo); NExtSmall4LRoad; Small Avenue Elevated; NET_TITLE[Small Avenue Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Avenue Bridge (NetInfo); NExtSmall4LRoad; Small Avenue Bridge; NET_TITLE[Small Avenue Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Avenue Tunnel (NetInfo); NExtSmall4LRoadTunnel; Small Avenue Tunnel; NET_TITLE[Small Avenue Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Avenue Slope (NetInfo); NExtSmall4LRoad; Small Avenue Slope; NET_TITLE[Small Avenue Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R4 (NetInfo); NExtSmall4LRoad; AsymAvenueL2R4; 6-Lane Asymmetrical Road: (2+4); Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R4 Elevated (NetInfo); NExtSmall4LRoad; AsymAvenueL2R4 Elevated; NET_TITLE[AsymAvenueL2R4 Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R4 Bridge (NetInfo); NExtSmall4LRoad; AsymAvenueL2R4 Bridge; NET_TITLE[AsymAvenueL2R4 Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R4 Tunnel (NetInfo); NExtSmall4LRoadTunnel; AsymAvenueL2R4 Tunnel; NET_TITLE[AsymAvenueL2R4 Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R4 Slope (NetInfo); NExtSmall4LRoad; AsymAvenueL2R4 Slope; NET_TITLE[AsymAvenueL2R4 Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R3 (NetInfo); NExtSmall4LRoad; AsymAvenueL2R3; Five-Lane Asymmetrical Road: (2+3); Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R3 Elevated (NetInfo); NExtSmall4LRoad; AsymAvenueL2R3 Elevated; NET_TITLE[AsymAvenueL2R3 Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R3 Bridge (NetInfo); NExtSmall4LRoad; AsymAvenueL2R3 Bridge; NET_TITLE[AsymAvenueL2R3 Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R3 Tunnel (NetInfo); NExtSmall4LRoadTunnel; AsymAvenueL2R3 Tunnel; NET_TITLE[AsymAvenueL2R3 Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymAvenueL2R3 Slope (NetInfo); NExtSmall4LRoad; AsymAvenueL2R3 Slope; NET_TITLE[AsymAvenueL2R3 Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R3 (NetInfo); NExtSmall4LRoad; AsymRoadL1R3; Four-Lane Asymmetrical Road (1+3); Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R3 Elevated (NetInfo); NExtSmall4LRoad; AsymRoadL1R3 Elevated; NET_TITLE[AsymRoadL1R3 Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R3 Bridge (NetInfo); NExtSmall4LRoad; AsymRoadL1R3 Bridge; NET_TITLE[AsymRoadL1R3 Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R3 Tunnel (NetInfo); NExtSmall4LRoadTunnel; AsymRoadL1R3 Tunnel; NET_TITLE[AsymRoadL1R3 Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; AsymRoadL1R3 Slope (NetInfo); NExtSmall4LRoad; AsymRoadL1R3 Slope; NET_TITLE[AsymRoadL1R3 Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway4L (NetInfo); NExtSmall4LRoad; Oneway4L; Four-Lane Oneway; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway4L Elevated (NetInfo); NExtSmall4LRoad; Oneway4L Elevated; NET_TITLE[Oneway4L Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway4L Bridge (NetInfo); NExtSmall4LRoad; Oneway4L Bridge; NET_TITLE[Oneway4L Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway4L Tunnel (NetInfo); NExtSmall4LRoadTunnel; Oneway4L Tunnel; NET_TITLE[Oneway4L Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Oneway4L Slope (NetInfo); NExtSmall4LRoad; Oneway4L Slope; NET_TITLE[Oneway4L Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Medium Avenue (NetInfo); NExtMediumRoad; Medium Avenue; Four-Lane Road; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue Elevated (NetInfo); NExtMediumRoad; Medium Avenue Elevated; NET_TITLE[Medium Avenue Elevated]:0; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue Bridge (NetInfo); NExtMediumRoad; Medium Avenue Bridge; NET_TITLE[Medium Avenue Bridge]:0; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue Tunnel (NetInfo); NExtMediumRoadTunnel; Medium Avenue Tunnel; NET_TITLE[Medium Avenue Tunnel]:0; Medium Road Tunnel; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue Slope (NetInfo); NExtMediumRoad; Medium Avenue Slope; NET_TITLE[Medium Avenue Slope]:0; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue TL (NetInfo); NExtMediumRoadTL; Medium Avenue TL; Four-Lane Road with Turning Lane; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue TL Elevated (NetInfo); NExtMediumRoadTL; Medium Avenue TL Elevated; NET_TITLE[Medium Avenue TL Elevated]:0; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue TL Bridge (NetInfo); NExtMediumRoadTL; Medium Avenue TL Bridge; NET_TITLE[Medium Avenue TL Bridge]:0; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue TL Tunnel (NetInfo); NExtMediumRoadTLTunnel; Medium Avenue TL Tunnel; NET_TITLE[Medium Avenue TL Tunnel]:0; Medium Road Tunnel; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Medium Avenue TL Slope (NetInfo); NExtMediumRoadTL; Medium Avenue TL Slope; NET_TITLE[Medium Avenue TL Slope]:0; Medium Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Six-Lane Avenue Median (NetInfo); NExtXLargeRoad; Six-Lane Avenue Median; Six-Lane Road with Median; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Six-Lane Avenue Median Elevated (NetInfo); NExtXLargeRoad; Six-Lane Avenue Median Elevated; NET_TITLE[Six-Lane Avenue Median Elevated]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Six-Lane Avenue Median Bridge (NetInfo); NExtXLargeRoad; Six-Lane Avenue Median Bridge; NET_TITLE[Six-Lane Avenue Median Bridge]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Six-Lane Avenue Median Tunnel (NetInfo); NExtXLargeRoadTunnel; Six-Lane Avenue Median Tunnel; NET_TITLE[Six-Lane Avenue Median Tunnel]:0; Large Road Tunnel; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Six-Lane Avenue Median Slope (NetInfo); NExtXLargeRoad; Six-Lane Avenue Median Slope; NET_TITLE[Six-Lane Avenue Median Slope]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Eight-Lane Avenue (NetInfo); NExtXLargeRoad; Eight-Lane Avenue; Eight-Lane Road; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Eight-Lane Avenue Elevated (NetInfo); NExtXLargeRoad; Eight-Lane Avenue Elevated; NET_TITLE[Eight-Lane Avenue Elevated]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Eight-Lane Avenue Bridge (NetInfo); NExtXLargeRoad; Eight-Lane Avenue Bridge; NET_TITLE[Eight-Lane Avenue Bridge]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Eight-Lane Avenue Tunnel (NetInfo); NExtXLargeRoadTunnel; Eight-Lane Avenue Tunnel; NET_TITLE[Eight-Lane Avenue Tunnel]:0; Large Road Tunnel; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Eight-Lane Avenue Slope (NetInfo); NExtXLargeRoad; Eight-Lane Avenue Slope; NET_TITLE[Eight-Lane Avenue Slope]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Small Rural Highway (NetInfo); NExtHighway1L; Small Rural Highway; National Road; Rural Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Small Rural Highway Elevated (NetInfo); NExtHighway1L; Small Rural Highway Elevated; NET_TITLE[Small Rural Highway Elevated]:0; Rural Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Small Rural Highway Bridge (NetInfo); NExtHighway1L; Small Rural Highway Bridge; NET_TITLE[Small Rural Highway Bridge]:0; Rural Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Small Rural Highway Tunnel (NetInfo); NExtHighwayTunnel1LTunnel; Small Rural Highway Tunnel; NET_TITLE[Small Rural Highway Tunnel]:0; Rural Highway Tunnel; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Small Rural Highway Slope (NetInfo); NExtHighway1L; Small Rural Highway Slope; NET_TITLE[Small Rural Highway Slope]:0; Rural Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Rural Highway (NetInfo); NExtHighway2L; Rural Highway; Two-Lane Highway; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Rural Highway Elevated (NetInfo); NExtHighway2L; Rural Highway Elevated; NET_TITLE[Rural Highway Elevated]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Rural Highway Bridge (NetInfo); NExtHighway2L; Rural Highway Bridge; NET_TITLE[Rural Highway Bridge]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Rural Highway Tunnel (NetInfo); NExtHighwayTunnel2LTunnel; Rural Highway Tunnel; NET_TITLE[Rural Highway Tunnel]:0; Highway Tunnel; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Rural Highway Slope (NetInfo); NExtHighway2L; Rural Highway Slope; NET_TITLE[Rural Highway Slope]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; AsymHighwayL1R2 (NetInfo); AsymHighwayL1R2GroundClass; AsymHighwayL1R2; 3 Lane Asymmetrical Highway: (1+2); AsymHighwayL1R2GroundClass; ; 0.25; Other; name; 0.25; 0.25
NetInfo; AsymHighwayL1R2 Elevated (NetInfo); AsymHighwayL1R2 ElevatedElevatedClass; AsymHighwayL1R2 Elevated; NET_TITLE[AsymHighwayL1R2 Elevated]:0; AsymHighwayL1R2 ElevatedElevatedClass; ; 0.25; Other; name; 0.25; 0.25
NetInfo; AsymHighwayL1R2 Bridge (NetInfo); AsymHighwayL1R2 BridgeBridgeClass; AsymHighwayL1R2 Bridge; NET_TITLE[AsymHighwayL1R2 Bridge]:0; AsymHighwayL1R2 BridgeBridgeClass; ; 0.25; Other; name; 0.25; 0.25
NetInfo; AsymHighwayL1R2 Tunnel (NetInfo); AsymHighwayL1R2 TunnelTunnelClass; AsymHighwayL1R2 Tunnel; NET_TITLE[AsymHighwayL1R2 Tunnel]:0; AsymHighwayL1R2 TunnelTunnelClass; ; 0.25; Other; name; 0.25; 0.25
NetInfo; AsymHighwayL1R2 Slope (NetInfo); AsymHighwayL1R2 SlopeSlopeClass; AsymHighwayL1R2 Slope; NET_TITLE[AsymHighwayL1R2 Slope]:0; AsymHighwayL1R2 SlopeSlopeClass; ; 0.25; Other; name; 0.25; 0.25
NetInfo; Highway2L2W (NetInfo); Highway2L2WGroundClass; Highway2L2W; Four-Lane National Highway; Highway2L2WGroundClass; ; 0.25; Highways; name; 0.25; 0.25
NetInfo; Highway2L2W Elevated (NetInfo); Highway2L2W ElevatedElevatedClass; Highway2L2W Elevated; NET_TITLE[Highway2L2W Elevated]:0; Highway2L2W ElevatedElevatedClass; ; 0.25; Highways; name; 0.25; 0.25
NetInfo; Highway2L2W Bridge (NetInfo); Highway2L2W BridgeBridgeClass; Highway2L2W Bridge; NET_TITLE[Highway2L2W Bridge]:0; Highway2L2W BridgeBridgeClass; ; 0.25; Highways; name; 0.25; 0.25
NetInfo; Highway2L2W Tunnel (NetInfo); Highway2L2W TunnelTunnelClass; Highway2L2W Tunnel; NET_TITLE[Highway2L2W Tunnel]:0; Highway2L2W TunnelTunnelClass; ; 0.25; Highways; name; 0.25; 0.25
NetInfo; Highway2L2W Slope (NetInfo); Highway2L2W SlopeSlopeClass; Highway2L2W Slope; NET_TITLE[Highway2L2W Slope]:0; Highway2L2W SlopeSlopeClass; ; 0.25; Highways; name; 0.25; 0.25
NetInfo; Four-Lane Highway (NetInfo); NExtHighway4L; Four-Lane Highway; Four-Lane Highway; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Four-Lane Highway Elevated (NetInfo); NExtHighway4L; Four-Lane Highway Elevated; NET_TITLE[Four-Lane Highway Elevated]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Four-Lane Highway Bridge (NetInfo); NExtHighway4L; Four-Lane Highway Bridge; NET_TITLE[Four-Lane Highway Bridge]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Four-Lane Highway Tunnel (NetInfo); NExtHighwayTunnel4LTunnel; Four-Lane Highway Tunnel; NET_TITLE[Four-Lane Highway Tunnel]:0; Highway Tunnel; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Four-Lane Highway Slope (NetInfo); NExtHighway4L; Four-Lane Highway Slope; NET_TITLE[Four-Lane Highway Slope]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Five-Lane Highway (NetInfo); NExtHighway5L; Five-Lane Highway; Five-Lane Highway; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Five-Lane Highway Elevated (NetInfo); NExtHighway5L; Five-Lane Highway Elevated; NET_TITLE[Five-Lane Highway Elevated]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Five-Lane Highway Bridge (NetInfo); NExtHighway5L; Five-Lane Highway Bridge; NET_TITLE[Five-Lane Highway Bridge]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Five-Lane Highway Tunnel (NetInfo); NExtHighwayTunnel5LTunnel; Five-Lane Highway Tunnel; NET_TITLE[Five-Lane Highway Tunnel]:0; Highway Tunnel; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Five-Lane Highway Slope (NetInfo); NExtHighway5L; Five-Lane Highway Slope; NET_TITLE[Five-Lane Highway Slope]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Large Highway (NetInfo); NExtHighway6L; Large Highway; Six-Lane Highway; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Large Highway Elevated (NetInfo); NExtHighway6L; Large Highway Elevated; NET_TITLE[Large Highway Elevated]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Large Highway Bridge (NetInfo); NExtHighway6L; Large Highway Bridge; NET_TITLE[Large Highway Bridge]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Large Highway Tunnel (NetInfo); NExtHighwayTunnel6LTunnel; Large Highway Tunnel; NET_TITLE[Large Highway Tunnel]:0; Highway Tunnel; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Large Highway Slope (NetInfo); NExtHighway6L; Large Highway Slope; NET_TITLE[Large Highway Slope]:0; Highway; ; 0.15; Highways; name; 0.15; 0.15
NetInfo; Small Busway (NetInfo); Small Road; Small Busway; [BETA] Busway; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway Elevated (NetInfo); Small Road; Small Busway Elevated; NET_TITLE[Small Busway Elevated]:0; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway Bridge (NetInfo); Small Road; Small Busway Bridge; NET_TITLE[Small Busway Bridge]:0; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway Tunnel (NetInfo); Small Road Tunnel; Small Busway Tunnel; NET_TITLE[Small Busway Tunnel]:0; Small Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway Slope (NetInfo); Small Road; Small Busway Slope; NET_TITLE[Small Busway Slope]:0; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway Decoration Grass (NetInfo); Small Road; Small Busway Decoration Grass; [BETA] Busway with Grass; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway Decoration Trees (NetInfo); Small Road; Small Busway Decoration Trees; [BETA] Busway with Trees; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay (NetInfo); Small Road; Small Busway OneWay; [BETA] OneWay Busway; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay Elevated (NetInfo); Small Road; Small Busway OneWay Elevated; NET_TITLE[Small Busway OneWay Elevated]:0; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay Bridge (NetInfo); Small Road; Small Busway OneWay Bridge; NET_TITLE[Small Busway OneWay Bridge]:0; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay Tunnel (NetInfo); Small Road Tunnel; Small Busway OneWay Tunnel; NET_TITLE[Small Busway OneWay Tunnel]:0; Small Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay Slope (NetInfo); Small Road; Small Busway OneWay Slope; NET_TITLE[Small Busway OneWay Slope]:0; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay Decoration Grass (NetInfo); Small Road; Small Busway OneWay Decoration Grass; [BETA] OneWay Busway with Grass; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Small Busway OneWay Decoration Trees (NetInfo); Small Road; Small Busway OneWay Decoration Trees; [BETA] OneWay Busway with Trees; Small Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; Large Road With Bus Lanes (NetInfo); Large Road; Large Road With Bus Lanes; [BETA] Large Road With Bus Lanes; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
NetInfo; Large Road Elevated With Bus Lanes (NetInfo); Large Road; Large Road Elevated With Bus Lanes; NET_TITLE[Large Road Elevated With Bus Lanes]:0; Large Road; ; 0.15; Medium & Large Roads; name; 0.15; 0.15
